,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.03509506955742836,0.1455576866865158,0.1873367875814438,0.030146963894367218,0.1332707405090332,0.1736288070678711
1,0.02865489199757576,0.1304088532924652,0.16927756369113922,0.02913621999323368,0.13079141080379486,0.17069335281848907
2,0.02693048119544983,0.1260685920715332,0.16410508751869202,0.028895581141114235,0.13055403530597687,0.1699870079755783
3,0.025623470544815063,0.12289293110370636,0.16007332503795624,0.029102936387062073,0.13055768609046936,0.17059582471847534
4,0.024078067392110825,0.11890560388565063,0.15517109632492065,0.029456911608576775,0.13135004043579102,0.1716301590204239
5,0.022372446954250336,0.11474556475877762,0.14957422018051147,0.03022020123898983,0.13251319527626038,0.17383958399295807
6,0.02052365429699421,0.10994968563318253,0.14326079189777374,0.03087977133691311,0.1342022866010666,0.17572641372680664
7,0.01876230165362358,0.10505016148090363,0.13697555661201477,0.031715814024209976,0.1345769166946411,0.17808933556079865
8,0.017360525205731392,0.10104237496852875,0.13175934553146362,0.032511234283447266,0.1363847702741623,0.18030871450901031
9,0.01606878824532032,0.09735126048326492,0.12676271796226501,0.032726727426052094,0.1367368847131729,0.1809052973985672
10,0.015201057307422161,0.09472860395908356,0.12329256534576416,0.032940495759248734,0.137111097574234,0.18149517476558685
11,0.014431764371693134,0.09226170927286148,0.12013227492570877,0.03321310877799988,0.13783393800258636,0.18224464356899261
12,0.013739002868533134,0.09016607701778412,0.11721349507570267,0.033353209495544434,0.13793908059597015,0.18262861669063568
